Section,Question,Answer,processed_question
Loans & Interest,what is a loan disbursement?,Loan disbursement is when the bank actually transfers the approved loan money to your account or directly to the seller (in case of home or car loans).,loan disbursement
Loans & Interest,what is a loan statement?,"A loan statement shows your outstanding principal, interest paid, EMIs paid so far, and the remaining schedule of payments.",loan statement
Loans & Interest,what is loan foreclosure?,Foreclosure means paying off your entire remaining loan balance before the tenure ends. Most banks allow this with minimal or no penalty for floating rate loans.,loan foreclosure
Loans & Interest,what is a prepayment penalty?,Some banks charge a fee if you repay your loan early. RBI has banned foreclosure charges on floating rate home and personal loans for individual borrowers.,prepayment penalty
Loans & Interest,what is a secured loan?,"A secured loan requires collateral. If you don't repay, the lender takes your pledged asset. Examples: home loan, car loan, gold loan.",secured loan
Loans & Interest,what is an unsecured loan?,"An unsecured loan doesn't need collateral. It's based on your credit score and income. Examples: personal loan, credit card loan.",unsecured loan
Loans & Interest,what is a top-up loan?,A top-up loan is an additional loan on top of your existing home loan. It's useful for renovation or emergencies and comes at a similar low interest rate.,topup loan
Loans & Interest,what is a loan against property?,You mortgage your residential or commercial property to the bank and get a large loan. The property is returned to you once the loan is repaid.,loan property
Loans & Interest,what is a loan against fd?,You can borrow up to 90% of your FD value by pledging it as collateral. The interest rate is usually 1–2% above the FD rate.,loan fd
Loans & Interest,what is a moratorium period?,"A moratorium is a temporary pause on loan repayment allowed by the bank. During this time, EMIs are paused but interest keeps accumulating.",moratorium period
Loans & Interest,what is an amortisation schedule?,"An amortisation schedule is a table showing how each EMI is split between principal and interest, and the outstanding balance after each payment.",amortisation schedule
Loans & Interest,what is the impact of credit score on loan?,"A higher credit score helps you get a loan approved faster, at a lower interest rate, and with better repayment terms. A low score may result in rejection.",impact credit score loan
Loans & Interest,what is a loan emi calculator?,"An EMI calculator is an online tool where you enter loan amount, interest rate, and tenure to instantly calculate your monthly payment.",loan emi calculator
Loans & Interest,what is floating rate of interest?,A floating rate changes with market conditions (like MCLR or repo rate). Your EMI or tenure can change when interest rates go up or down.,floating rate interest
Loans & Interest,what is a fixed rate of interest?,"A fixed interest rate stays the same throughout the loan tenure, making your EMI predictable and unaffected by market fluctuations.",fixed rate interest
Loans & Interest,what is a loan restructuring?,Loan restructuring is when the bank changes the terms of your loan — like extending tenure or reducing interest rate — to help you if you're struggling to repay.,loan restructuring
Loans & Interest,what is a kisan credit card?,"Kisan Credit Card is a scheme giving farmers easy access to affordable short-term credit for cultivation, post-harvest needs, and maintenance of farm assets.",kisan credit card
Loans & Interest,what is a mudra loan?,"MUDRA loans under Pradhan Mantri MUDRA Yojana give loans up to ₹10 lakh to small businesses without collateral. Categories: Shishu, Kishor, and Tarun.",mudra loan
Loans & Interest,what is a microfinance loan?,Microfinance loans are tiny loans given to low-income individuals or groups (especially women in rural areas) who can't access regular bank credit.,microfinance loan
Loans & Interest,what is a subvention scheme on home loan?,"Under a subvention scheme, the builder pays the home loan interest during construction. The buyer starts paying EMI only after possession.",subvention scheme home loan
Loans & Interest,what is a home loan balance transfer?,Transferring your home loan to another bank offering a lower interest rate is called a balance transfer. It can save you a significant amount over the loan tenure.,home loan balance transfer
Loans & Interest,what is loan processing fee?,A processing fee is a one-time charge by the bank for evaluating and approving your loan application. It's usually 0.5–2% of the loan amount.,loan processing fee
Loans & Interest,what is a guarantor?,A guarantor is a person who promises to repay the loan if the primary borrower fails to do so. Banks sometimes require a guarantor for unsecured or large loans.,guarantor
Loans & Interest,what is credit utilisation ratio?,It's the percentage of your credit card or loan limit that you're currently using. Keeping it below 30% helps maintain a healthy credit score.,credit utilisation ratio
Loans & Interest,what is a loan default notice?,"If you miss several EMIs, the bank sends a legal notice warning you to clear dues. Ignoring it can lead to recovery action or asset seizure.",loan default notice
Loans & Interest,what is an npa?,"NPA is Non-Performing Asset. If a loan's interest or principal hasn't been paid for 90 days, it becomes an NPA and the bank has to make a provision for it.",npa
Loans & Interest,what is sarfaesi act?,"The SARFAESI Act allows banks to take over and sell a defaulter's secured assets without going to court, to recover outstanding loan amounts.",sarfaesi act
Loans & Interest,what is a debt consolidation loan?,"A debt consolidation loan combines multiple loans or debts into one single loan with a lower interest rate, making repayment simpler.",debt consolidation loan
Loans & Interest,what is a loan against mutual funds?,You can pledge your mutual fund units as collateral and get an overdraft or loan against them. You don't need to sell your investments.,loan mutual funds
Loans & Interest,what is a working capital loan?,"A working capital loan helps businesses cover day-to-day operating costs like salaries, inventory, and utility bills when cash flow is low.",working capital loan
Loans & Interest,what is a term loan?,"A term loan is a lump sum borrowed for a fixed period, repaid in regular instalments. Used for business expansion, equipment purchase, or personal needs.",term loan
Loans & Interest,what is a cash credit facility?,"Cash credit is a short-term credit facility where a business can withdraw money up to a sanctioned limit as needed, paying interest only on what's used.",cash credit facility
Loans & Interest,what is a bill discounting?,"Bill discounting is when a bank pays you the value of a trade invoice before its due date (minus a discount fee), improving your business cash flow.",bill discounting
Loans & Interest,what is hypothecation?,Hypothecation is pledging a movable asset (like a car or stocks) as security for a loan without transferring ownership to the lender.,hypothecation
Loans & Interest,what is a pledge vs mortgage?,"A pledge is for movable assets (gold, shares) given to the lender. A mortgage is for immovable property (land, house) where ownership stays with you.",pledge vs mortgage
Loans & Interest,what is a lien on account?,A lien is a hold placed by the bank on your account or asset to secure repayment of a loan. You can't freely use the linked funds until the lien is lifted.,lien account
Loans & Interest,what is a balloon payment?,A balloon payment is a large lump sum paid at the end of a loan tenure after smaller regular payments. Common in some vehicle and business loans.,balloon payment
Loans & Interest,what is a step-up emi?,A step-up EMI plan starts with lower EMIs that gradually increase over time — helpful for young professionals whose income is expected to grow.,stepup emi
Loans & Interest,what is a step-down emi?,Step-down EMIs start higher and decrease over time — suitable for borrowers who expect income to reduce in future years.,stepdown emi
Loans & Interest,what is a home loan tax benefit?,Home loan borrowers can claim deduction of up to ₹2 lakh per year on interest under Section 24(b) and ₹1.5 lakh on principal under Section 80C.,home loan tax benefit
Loans & Interest,what is education loan interest deduction?,Interest paid on education loans is fully deductible under Section 80E of the Income Tax Act for up to 8 years after the loan repayment starts.,education loan interest deduction
Loans & Interest,what is a co-applicant in a home loan?,"Adding a co-applicant like a spouse increases combined income, improving eligibility and sometimes getting a better interest rate. Both share repayment responsibility.",coapplicant home loan
Loans & Interest,what is ltv ratio in home loans?,LTV is Loan-to-Value ratio — the percentage of the property value the bank will fund. RBI mandates that banks lend no more than 75–90% of property value.,ltv ratio home loans
Loans & Interest,what is a bridge loan?,"A bridge loan is a short-term loan to bridge a funding gap — for example, when you're selling one house and buying another at the same time.",bridge loan
Loans & Interest,what is a loan emi bounce?,An EMI bounce happens when your bank account doesn't have enough funds to pay the EMI on the due date. The bank charges a bounce fee and it affects your credit score.,loan emi bounce
Loans & Interest,what is a personal loan eligibility?,"Personal loan eligibility depends on your income, employment type, credit score, age, and existing EMI obligations. Most banks require a minimum salary of ₹15,000–₹25,000.",personal loan eligibility
Loans & Interest,what is a loan against shares?,You can pledge your stock market holdings as collateral and get an overdraft facility from the bank. The limit is usually 50–70% of share market value.,loan shares
Loans & Interest,what is an emergency loan?,"An emergency loan or instant personal loan is a quick, short-tenure loan disbursed in hours or minutes through a mobile app, meant for urgent cash needs.",emergency loan
Loans & Interest,what is a revolving credit facility?,"A revolving credit facility lets you borrow, repay, and borrow again up to a set limit — like a credit card or overdraft account. You only pay interest on what you use.",revolving credit facility
Loans & Interest,what is a substandard asset?,A substandard asset is a loan that has remained an NPA for less than or equal to 12 months. Banks need to set aside provisions for these.,substandard asset
Loans & Interest,what is a doubtful asset?,A doubtful asset is a loan that has been NPA for more than 12 months. Recovery becomes uncertain and banks have to provision heavily.,doubtful asset
Loans & Interest,what is a loss asset?,A loss asset is a loan where the bank has accepted that recovery is almost impossible. The entire loan amount must be written off or provisioned.,loss asset
Loans & Interest,what is a written-off loan?,"When a bank gives up on recovering a loan, it removes it from its books as a loss. But the bank can still legally pursue the borrower for repayment.",writtenoff loan
Loans & Interest,what is a credit bureau?,"A credit bureau collects credit history from banks and issues credit scores. In India, the four main credit bureaus are CIBIL, Experian, Equifax, and CRIF High Mark.",credit bureau
Loans & Interest,what is a credit report?,"A credit report is a detailed record of all your past and current loans, credit cards, repayment history, and outstanding amounts, compiled by a credit bureau.",credit report
Loans & Interest,what is a hard enquiry on credit?,A hard enquiry happens when a bank pulls your credit report to evaluate a loan or credit card application. Too many in a short period can lower your credit score.,hard enquiry credit
Loans & Interest,what is a soft enquiry on credit?,A soft enquiry is when you or a company checks your credit score for informational purposes. It doesn't affect your credit score.,soft enquiry credit
Loans & Interest,what is an auto loan?,An auto loan or vehicle loan is taken to purchase a two-wheeler or four-wheeler. The vehicle itself is hypothecated to the bank until the loan is fully repaid.,auto loan
Loans & Interest,what is a tractor loan?,"A tractor loan is a specialized agricultural vehicle loan given to farmers at concessional interest rates, often subsidized by the government.",tractor loan
Loans & Interest,what is a housing finance company?,A housing finance company (HFC) like LIC Housing Finance or HDFC Ltd specializes in home loans. They are regulated by NHB (National Housing Bank).,housing finance company
Loans & Interest,what is a microfinance institution?,"An MFI provides small loans to low-income borrowers, especially women in rural areas, without requiring collateral. They operate through joint liability groups.",microfinance institution
Loans & Interest,what is a joint liability group?,"A joint liability group is 4–10 individuals who borrow collectively and are jointly responsible for repaying the loan. If one defaults, others are liable.",joint liability group
Loans & Interest,what is the subvention scheme for home loans?,"In a subvention scheme, the developer pays the loan interest during construction. The buyer's full EMI starts only when the property is handed over.",subvention scheme home loans
Loans & Interest,what is a secured overdraft?,"A secured overdraft gives you a credit line by pledging FD, property, or shares as collateral. Interest is charged only on the amount withdrawn.",secured overdraft
Loans & Interest,what is an unsecured overdraft?,"An unsecured overdraft gives you a credit line based on your income and credit score, without pledging any asset. It usually has a higher interest rate.",unsecured overdraft
Loans & Interest,what is a loan noc?,An NOC (No Objection Certificate) is issued by the bank after you repay your loan fully. It confirms the debt is cleared and releases any lien on your asset.,loan noc
Loans & Interest,what is a loan hypothecation removal?,"After repaying a vehicle or asset loan, you apply to remove the hypothecation from the RC (Registration Certificate). The bank issues NOC to complete this process.",loan hypothecation removal
Loans & Interest,what is an emi holiday?,"An EMI holiday is a break from paying instalments, allowed by some banks at the beginning of a loan. Interest continues to accumulate during this period.",emi holiday
Loans & Interest,what is a study abroad education loan?,Banks give education loans for studying abroad at higher amounts (up to ₹1.5 crore) with collateral. The RBI and government offer some interest subsidy schemes.,study abroad education loan
Loans & Interest,what is pm svanidhi scheme?,"PM SVANidhi provides collateral-free working capital loans to street vendors: ₹10,000 initially, scaling up to ₹50,000 upon timely repayment.",pm svanidhi scheme
Loans & Interest,what is a home equity loan?,A home equity loan lets you borrow against the equity (market value minus outstanding loan) in your property for a one-time lump sum.,home equity loan
Loans & Interest,what is peer-to-peer lending?,"P2P lending is an online platform where individuals lend money directly to other individuals or businesses, bypassing banks. Regulated by RBI in India.",peertopeer lending
Loans & Interest,what is digital lending?,"Digital lending is applying for and receiving a loan entirely online through a bank or fintech app, often getting approval and disbursal within minutes.",digital lending
Loans & Interest,what is credit risk?,"Credit risk is the risk that a borrower will not repay their loan as promised. Banks assess this using credit scores, income proof, and collateral.",credit risk
Loans & Interest,what is an interest rate reset?,"For floating rate loans, the interest rate resets periodically (monthly or annually) based on the benchmark like MCLR or repo rate at that time.",interest rate reset
Loans & Interest,what is a standing instruction for emi?,"A standing instruction authorizes your bank to automatically debit the EMI amount from your account every month on the due date, so you never miss a payment.",standing instruction emi
Loans & Interest,what is a loan restructuring under rbi guidelines?,"RBI sometimes allows banks to restructure loans during national crises (like COVID-19) by extending tenure, reducing rates, or converting unpaid interest to a new loan.",loan restructuring rbi guidelines
Operations & Security,what is a bank statement?,"A bank statement is a monthly record of all transactions in your account — deposits, withdrawals, fees, and interest — for a specific time period.",bank statement
Operations & Security,what is ledger balance?,"Ledger balance is the total amount in your account at the start of the day, including any recent transactions that have been processed and settled.",ledger balance
Operations & Security,what is available balance?,Available balance is the money you can actually spend right now. It may be lower than the ledger balance if some transactions are still pending.,available balance
Operations & Security,what is a bank teller?,"A bank teller is the staff member at the bank counter who handles cash deposits, withdrawals, and other basic customer requests.",bank teller
Operations & Security,what is a branch manager?,"The branch manager is in charge of the entire branch — managing staff, approving certain loans, ensuring good customer service, and meeting business targets.",branch manager
Operations & Security,what is kyc verification?,"KYC verification is how the bank confirms your identity and address using documents like Aadhaar, PAN card, or passport to prevent fraud.",kyc verification
Operations & Security,what is account freezing?,"Account freezing is a temporary block on your account — no withdrawals or transfers — usually due to fraud suspicion, court orders, or KYC non-compliance.",account freezing
Operations & Security,what is a stop payment request?,A stop payment is an instruction to the bank to not honour a cheque you already issued. It must be placed before the cheque is presented for clearing.,stop payment request
Operations & Security,what is a cash deposit machine?,"A CDM is a self-service machine at the bank where you can deposit cash into your account without needing a teller, even outside banking hours.",cash deposit machine
Operations & Security,what is a swift code?,A SWIFT code is a unique international bank identifier used for cross-border fund transfers. It's like an IFSC code but for international transactions.,swift code
Operations & Security,what is aml?,AML stands for Anti-Money Laundering. It's a set of rules and checks that banks follow to prevent criminals from disguising dirty money as legitimate funds.,aml
Operations & Security,what is a bank audit?,A bank audit is a detailed check of the bank's financial records by external auditors or RBI to ensure compliance and accuracy.,bank audit
Operations & Security,what is bank reconciliation?,Bank reconciliation is when a business compares its own records with the bank statement to make sure every transaction matches and there are no errors.,bank reconciliation
Operations & Security,what is a suspicious transaction report?,"If a bank spots an unusual or potentially illegal transaction, it files a Suspicious Transaction Report (STR) with the Financial Intelligence Unit (FIU-IND).",suspicious transaction report
Operations & Security,what is a cash transaction report?,"Banks must report all cash transactions above ₹10 lakh in a month or single transactions above ₹50,000 to the FIU-IND to prevent money laundering.",cash transaction report
Operations & Security,what is a locker access procedure?,"To access your bank locker, you visit the branch, sign the locker access register, and use your key along with the bank's master key to open it.",locker access procedure
Operations & Security,what is the role of rbi?,"RBI is India's central bank. It controls the money supply, regulates banks, manages the currency, and maintains financial stability in the country.",role rbi
Operations & Security,what is a bank holiday?,A bank holiday is a day when bank branches are closed — due to a national or local festival. But digital banking and ATMs usually work normally.,bank holiday
Operations & Security,what is a clearing house?,"A clearing house is a facility where banks settle transactions among themselves. In India, NPCI and RBI operate clearing systems for cheques and digital payments.",clearing house
Operations & Security,what is cash reserve ratio (crr)?,CRR is the percentage of a bank's deposits that must be kept with RBI as cash reserve. It controls how much money banks can lend out.,cash reserve ratio crr
Operations & Security,what is statutory liquidity ratio (slr)?,"SLR is the minimum percentage of deposits banks must hold in liquid assets like government bonds, gold, or approved securities.",statutory liquidity ratio slr
Operations & Security,what is the difference between crr and slr?,CRR is kept as cash with RBI; SLR is kept as liquid assets like bonds by the bank itself. Both are tools to control credit availability in the economy.,difference crr slr
Operations & Security,what is a bank's capital adequacy ratio?,Capital Adequacy Ratio (CAR) ensures banks hold enough capital to cover risks. RBI requires Indian banks to maintain a minimum CAR of 9%.,banks capital adequacy ratio
Operations & Security,what is basel norms?,"Basel norms are international banking regulations (Basel I, II, III) that set minimum capital requirements, risk management standards, and disclosure rules for banks.",basel norms
Operations & Security,what is financial fraud in banking?,"Financial fraud includes activities like identity theft, cheque fraud, phishing, loan fraud, and insider theft aimed at stealing money from banks or customers.",financial fraud banking
Operations & Security,what is the ombudsman for banking?,The RBI Integrated Ombudsman handles customer complaints against banks and financial institutions. You can file a complaint online if the bank doesn't resolve your issue in 30 days.,ombudsman banking
Operations & Security,how do i file a banking complaint?,"First complain to the bank. If it's not resolved within 30 days, file a complaint at the RBI Integrated Ombudsman portal (cms.rbi.org.in) for free.",file banking complaint
Operations & Security,what is fema?,"FEMA is the Foreign Exchange Management Act. It governs all foreign exchange transactions in India, including NRI accounts, imports, exports, and foreign investments.",fema
Operations & Security,what is pmla?,PMLA is the Prevention of Money Laundering Act. It requires banks to monitor and report suspicious transactions and carry out due diligence on high-risk customers.,pmla
Operations & Security,what is a bank's know-your-customer policy?,"A KYC policy ensures that banks verify who their customers are using identity and address proofs, both at account opening and periodically thereafter.",banks knowyourcustomer policy
Operations & Security,what is cersai?,CERSAI is a central registry where banks record mortgage details on properties. It prevents fraudsters from getting loans from multiple banks using the same property.,cersai
Operations & Security,what is internal audit in a bank?,"Internal audit is an in-house review of a bank's processes, financial records, and compliance to identify risk areas and ensure correct procedures are followed.",internal audit bank
Operations & Security,what is a bank's risk management?,"Risk management in banking involves identifying, measuring, and controlling risks — credit risk, market risk, operational risk, and liquidity risk — to protect the bank.",banks risk management
Operations & Security,what is a systemic risk?,"Systemic risk is the risk that the failure of one large bank can trigger a chain reaction, causing other banks and the entire financial system to collapse.",systemic risk
Operations & Security,what is a run on the bank?,"A bank run happens when a large number of customers withdraw their money simultaneously out of panic, fearing the bank may fail.",run bank
Operations & Security,what is moral hazard in banking?,Moral hazard is when banks take on excessive risk knowing they'll be bailed out by the government. Deposit insurance can sometimes contribute to this.,moral hazard banking
Operations & Security,what is a debit freeze on account?,A debit freeze stops all outgoing transactions from your account while allowing incoming credits. It's applied during fraud investigation or court orders.,debit freeze account
Operations & Security,what is signature verification in banking?,Banks verify your signature on cheques and forms against the sample stored at account opening. A mismatch can lead to the transaction being rejected.,signature verification banking
Operations & Security,what is a current liability in banking?,"A current liability includes short-term obligations the bank must pay within one year — like short-term deposits, interbank borrowings, and accounts payable.",current liability banking
Operations & Security,what is a non-performing loan?,A non-performing loan is a loan where the borrower hasn't made interest or principal payments for at least 90 days. It's a problem asset for the bank.,nonperforming loan
Operations & Security,what is provisioning for npas?,"Provisioning means banks set aside a portion of their profit as a buffer to cover potential losses from NPAs, based on how bad (substandard, doubtful, loss) the asset is.",provisioning npas
Operations & Security,what is a fiat currency?,Fiat currency is money issued by the government that is not backed by gold or any physical commodity. Its value is based on trust in the government.,fiat currency
Operations & Security,what is a banking licence?,A banking licence is issued by RBI to an entity allowing it to legally carry out banking activities like accepting deposits and providing loans.,banking licence
Operations & Security,what is a scheduled bank?,"A scheduled bank is a bank listed in the Second Schedule of the RBI Act, 1934. It must follow RBI's regulations, maintain CRR, and is eligible for RBI credit.",scheduled bank
Operations & Security,what is a non-scheduled bank?,Non-scheduled banks are not listed in RBI's schedule. They operate under state laws and are typically small co-operative banks serving local communities.,nonscheduled bank
Operations & Security,what is a foreign bank in india?,"A foreign bank is a bank incorporated outside India but operating through branches in India. Examples: Citibank, Standard Chartered, HSBC, Deutsche Bank.",foreign bank india
Operations & Security,what is a public sector bank?,"A public sector bank is majority-owned by the government. Examples include SBI, Punjab National Bank, Bank of Baroda. The government controls more than 50% stake.",public sector bank
Operations & Security,what is a private sector bank?,"A private sector bank is majority-owned by private shareholders. Examples include HDFC Bank, ICICI Bank, Axis Bank, Kotak Mahindra Bank.",private sector bank
Operations & Security,what is the rbi's monetary policy committee?,The MPC is a six-member committee that meets every two months to decide on the repo rate and manage inflation by adjusting monetary policy.,rbis monetary policy committee
Operations & Security,what is the inflation target of rbi?,"RBI targets a 4% retail inflation rate (CPI) with a tolerance band of +/- 2%, i.e., between 2% and 6%, as mandated by the government.",inflation target rbi
Operations & Security,what is consumer price index?,"CPI measures how much a basket of common goods and services (food, clothing, housing, transport) costs compared to a base year. It's used to track retail inflation.",consumer price index
Operations & Security,what is wholesale price index?,"WPI tracks the average price change of goods at the wholesale level. It covers manufacturing and mining but not services, and was the main inflation benchmark before CPI.",wholesale price index
Operations & Security,what is financial inclusion?,"Financial inclusion means giving all people — especially the poor and rural — access to affordable financial services like bank accounts, loans, insurance, and payments.",financial inclusion
Operations & Security,what is the rbi's open market operations?,OMO is when RBI buys or sells government securities in the open market to inject or absorb liquidity and manage interest rates in the banking system.,rbis open market operations
Operations & Security,what is sterilization in banking?,Sterilization is when RBI conducts OMOs to neutralize the effect of forex inflows or outflows on domestic money supply and inflation.,sterilization banking
Operations & Security,what is a master circular from rbi?,"RBI issues master circulars consolidating all guidelines on specific topics (like loans, KYC, interest rates) for banks to follow. They are updated annually.",master circular rbi
Operations & Security,what is a bank's priority sector lending?,"RBI mandates banks to lend at least 40% of their loans to priority sectors like agriculture, micro enterprises, and weaker sections of society.",banks priority sector lending
Operations & Security,what is the sarfaesi act?,"SARFAESI Act empowers banks to recover NPAs by directly taking possession of and selling secured assets without a court order, speeding up recovery.",sarfaesi act
Operations & Security,what is the drt?,Debt Recovery Tribunal (DRT) handles cases where banks want to recover loans above ₹20 lakh through a faster legal process than regular civil courts.,drt
Operations & Security,what is a consent letter in banking?,"A consent letter is a written permission from the customer authorizing the bank to share their data, access their account, or take specific actions.",consent letter banking
Operations & Security,what is an encumbrance certificate?,An encumbrance certificate confirms that a property is free from any loan or legal charges. Banks check this before approving a property loan.,encumbrance certificate
Operations & Security,what is title search in home loan?,Title search is a legal check done before sanctioning a home loan to confirm the property's ownership history and ensure there are no disputes or claims on it.,title search home loan
Operations & Security,what is a property valuation for loan?,Banks hire an approved valuator to estimate the current market value of a property before deciding how much loan (usually 75–80% of value) to sanction.,property valuation loan
Operations & Security,what is an annual report of a bank?,"An annual report is a yearly document published by a bank showing its financial performance, profit/loss, NPA levels, capital adequacy, and future plans.",annual report bank
Operations & Security,what is a bank's balance sheet?,"A bank's balance sheet lists all its assets (loans, investments) and liabilities (deposits, borrowings) to show its financial health at a point in time.",banks balance sheet
Operations & Security,what is a core banking system?,"Core Banking Solution (CBS) is the central software that connects all bank branches, enabling real-time transactions and account access from any location.",core banking system
Operations & Security,what is swift messaging?,SWIFT messages are secure standardized messages used by banks worldwide to send payment instructions and financial information across borders.,swift messaging
Operations & Security,what is a central kyc registry (ckyc)?,CKYC is a central repository managed by CERSAI where a customer's KYC information is stored once and can be used by any regulated entity without re-verification.,central kyc registry ckyc
Operations & Security,what is a bank regulator?,"In India, RBI regulates commercial banks, RBI and SEBI regulate co-operative banks, and IRDAI regulates insurance arms of banks.",bank regulator
Operations & Security,what is pca framework?,Prompt Corrective Action (PCA) is an RBI framework that restricts weak banks (with high NPAs or low capital) from certain risky activities until they recover.,pca framework
Operations & Security,what is a bank merger?,"A bank merger is when two or more banks combine into one, usually to improve scale, reduce costs, and manage NPAs. Example: 10 public sector banks merged into 4 in 2020.",bank merger
Operations & Security,what is a bank resolution?,"Bank resolution refers to the process of dealing with a failing bank — through sale, merger, or restructuring — to prevent financial system collapse and protect depositors.",bank resolution
Operations & Security,what is sebi's role in banking?,"SEBI regulates the capital market aspects of banking, including bank-issued bonds, shares, and investment banking activities in the securities market.",sebis role banking
Operations & Security,what is a financial year in banking?,"In India, the financial year runs from April 1 to March 31. Banks publish their annual results and calculate interest, TDS, and depreciation for this period.",financial year banking
Operations & Security,what is a cashier's order?,A cashier's order is issued by a bank against its own funds on behalf of a customer. It's like a DD — guaranteed payment and cannot bounce.,cashiers order
Operations & Security,what is a safe deposit locker agreement?,"Before renting a locker, you sign an agreement with the bank stating the terms of use, fee, liability, and access rules.",safe deposit locker agreement
Operations & Security,what is the rbi lokpal?,RBI Ombudsman (formerly RBI Lokpal) is a free dispute resolution authority for customers who have unresolved complaints against banks or NBFCs.,rbi lokpal
Operations & Security,what is an alert transaction?,"An alert transaction is any transaction that triggers a fraud monitoring alert — like a large unusual transfer, login from a new device, or late-night withdrawal.",alert transaction
Operations & Security,what is two-person integrity in banking?,"Two-person integrity means critical bank operations require authorisation from two separate officials, preventing any single person from committing fraud alone.",twoperson integrity banking
Operations & Security,what is a correspondent bank?,"A correspondent bank provides services on behalf of another bank in a different country, enabling cross-border payments and foreign currency transactions.",correspondent bank
Operations & Security,what is an interbank settlement?,Interbank settlement is when banks transfer funds among themselves to settle transactions made by their customers. Done through RBI's systems like RTGS and NEFT.,interbank settlement
Operations & Security,what is a payment system?,"A payment system is the infrastructure (hardware, software, networks, rules) used to transfer money between individuals and institutions — like NEFT, UPI, SWIFT.",payment system
Operations & Security,what is a banking licence cancellation?,"RBI can cancel a bank's licence if it fails to meet capital requirements, engages in fraud, or is unable to repay depositors, effectively shutting down operations.",banking licence cancellation
Operations & Security,what is a ring-fencing of bank assets?,"Ring-fencing protects a bank's core retail deposits and operations from risks taken by its investment banking arm, ensuring retail customers aren't harmed.",ringfencing bank assets
Operations & Security,what is a bank's profitability ratio?,"Key ratios include Net Interest Margin (NIM), Return on Assets (ROA), and Return on Equity (ROE), used to judge how efficiently a bank is generating profit.",banks profitability ratio
Operations & Security,what is net interest margin?,"NIM is the difference between interest income earned on loans and interest paid on deposits, expressed as a percentage of earning assets. It shows a bank's core profitability.",net interest margin
Operations & Security,what is return on assets for banks?,ROA measures how much profit a bank earns per rupee of assets. A higher ROA means the bank is more efficient in using its assets to generate profit.,return assets banks
Operations & Security,what is the difference between retail and wholesale banking?,"Retail banking serves individual customers with savings accounts, personal loans, and credit cards. Wholesale banking serves large corporations with complex financial products.",difference retail wholesale banking
Operations & Security,what is treasury operations in a bank?,"Treasury manages a bank's investments, liquidity, forex operations, and compliance with CRR/SLR requirements to maximize returns on the bank's own funds.",treasury operations bank
Operations & Security,what is asset quality review in banks?,"An AQR is conducted by RBI to assess the true quality of a bank's loan portfolio, identify hidden NPAs, and ensure correct provisioning.",asset quality review banks
Operations & Security,what is a digital branch?,"A digital branch is a virtual banking outlet that offers all services — account opening, loans, FDs, complaints — through video, chat, and digital forms without physical premises.",digital branch
Operations & Security,what is a white-label atm?,A white-label ATM is operated by a non-bank entity (like Tata Communications or Muthoot Finance) licensed by RBI. All bank cards can be used at these ATMs.,whitelabel atm
Operations & Security,what is a bank's customer service charter?,"It's a public commitment by the bank listing the service standards, turnaround times, and customer rights it promises to uphold.",banks customer service charter
Operations & Security,what is a financial crime?,"Financial crime includes fraud, money laundering, tax evasion, identity theft, and cybercrime that results in financial loss to banks or customers.",financial crime
Operations & Security,what is a forged signature?,A forged signature on a cheque or bank form is a criminal offence. Banks can refuse to process the transaction and report it to the police.,forged signature
Operations & Security,what is an indemnity bond in banking?,An indemnity bond is a legal undertaking by the customer to protect the bank from any future claim or loss — required when issuing duplicate statements or cheque books.,indemnity bond banking
Operations & Security,what is a bank's stress test?,A stress test simulates extreme economic conditions (like a financial crash) to see if a bank has enough capital to survive without failing.,banks stress test
Operations & Security,what is a credit concentration risk?,"Credit concentration risk arises when a bank lends too much to one sector, borrower, or region. If that sector fails, the bank faces huge losses.",credit concentration risk
Operations & Security,what is liquidity coverage ratio?,"LCR requires banks to hold enough high-quality liquid assets to cover 30 days of cash outflow under a stressed scenario, ensuring they can survive a short-term crisis.",liquidity coverage ratio
Operations & Security,what is a bank's contingency plan?,"A contingency plan outlines how a bank will continue operations and protect customers in case of a cyberattack, natural disaster, or financial crisis.",banks contingency plan
General Finance,what is inflation?,"Inflation is when prices of everyday goods and services rise over time, reducing how much you can buy with the same amount of money.",inflation
General Finance,what is deflation?,"Deflation is when prices fall over time. While it sounds good, it often signals weak demand and can slow down economic growth.",deflation
General Finance,what is gdp?,GDP is Gross Domestic Product — the total value of all goods and services produced in a country in one year. It measures the size of the economy.,gdp
General Finance,what is a central bank?,"A central bank like RBI manages a country's currency, controls money supply, regulates banks, and sets interest rate policy to keep the economy stable.",central bank
General Finance,what is liquidity?,Liquidity is how quickly and easily an asset can be converted to cash without losing much value. Cash is the most liquid asset.,liquidity
General Finance,what is fiscal policy?,Fiscal policy is how the government uses taxes and public spending to influence the economy — like cutting taxes to boost growth or increasing spending.,fiscal policy
General Finance,what is monetary policy?,Monetary policy is how the central bank controls money supply and interest rates to manage inflation and support economic growth.,monetary policy
General Finance,what is a budget deficit?,A budget deficit happens when the government spends more than it earns through taxes and other revenues. It has to borrow to fill the gap.,budget deficit
General Finance,what is a mutual fund?,"A mutual fund pools money from many investors and invests it in stocks, bonds, or other securities managed by a professional fund manager.",mutual fund
General Finance,what is a stock market?,"A stock market is a marketplace where investors buy and sell shares of publicly listed companies. In India, the main exchanges are NSE and BSE.",stock market
